Source,https://words.hk/faiman/analysis/existingwordcount/
B,1982
T,1991
Y,484
am,848
m,8139
stat,52
一,40777
一定,1569
上,8054
上去,165
下,8748
下邊,18
中,6336
之,7849
之前,837
之後,1810
乜,1958
了,2217
交,1072
人,25916
仔,4125
仔女,151
代,1841
以,13860
以前,411
仲,5250
仲有,1306
估,991
但,9897
但係,4916
位,1938
你,24247
你哋,409
佢,21239
佢哋,1408
使,1225
使用,146
來,4475
係,58570
個,26449
傾,657
先,5450
免,459
免費,59
兒,487
兒童,68
全,3510
全部,561
兩,3219
具,292
再,4894
冒,83
冒險,19
分,3998
刊,42
到,18670
前,3663
加,2467
卜,38
卜卜脆,1
去,10585
去飲,44
又,8379
口,3056
叫,3270
可,11325
可以,6788
同,14350
同人,187
周,554
周刊,3
周圍,181
咗,8148
咩,6758
品,1063
哋,4278
唔,34926
唔知,2440
商,441
商場,73
啦,7206
啫,647
啫喱,7
啱,939
啲,6615
喇,1477
單,1880
喱,33
嗌,134
嗌交,11
嗰,2707
嗰時,101
嘅,27090
嘢,3871
嘢食,45
回,1742
回憶,89
因,4364
因為,3281
圍,621
園,288
地,10049
坐,1048
坐定定,15
埋,3447
埋去,117
埋單,31
報,972
報紙,127
報紙檔,4
場,1829
士,1239
多,9614
多時,241
大,13703
大人,124
大叫,197
大少,4
大把,85
天,2532
天地,46
女,5168
好,24559
好多,2486
好多時,191
好好,521
好玩,83
完,3796
定,4747
定係,632
家,8777
家人,131
實,5916
對,6025
少,3847
少少,903
少有,41
就,17725
屋,1510
己,6082
巴,502
巴士,132
帝,213
帶,1122
常,1804
幫,1464
年,5437
年代,255
幾,6462
店,372
後,9316
後來,249
得,13004
心,6294
快,2217
恩,160
悶,261
憶,232
我,45036
或,2440
或者,1871
戰,827
戰術,13
手,4386
手機,156
把,842
抵,206
抵食,3
拎,1465
捉,369
掂,443
排,763
排隊,58
搞,1765
搞掂,97
搵,2193
搶,232
搶嘢,1
改,972
改用,7
放,2104
文,5264
文具,8
日,6610
日本,436
明,3764
時,9102
最,4999
會,15750
有,26152
有時,711
本,4556
本身,449
村,253
枱,150
條,2606
梯,182
極,1129
樂,1138
樂園,12
樓,841
樓梯,69
機,2826
檔,145
次,3976
歡,441
歡樂,23
每,1657
氣,2255
氣派,6
油,268
油菜,3
派,540
漫,273
漫畫,56
炒,412
炒米,2
炸,339
為,9291
無,12803
煎,46
熱,724
爭,679
猜,70
玩,1610
甜,198
甜品,20
用,5533
畫,703
皇,261
皇帝,43
睇,5805
睇啱,1
知,7761
碼,475
種,2491
童,220
等,2457
等等,303
籠,53
米,380
米粉,4
粉,235
粥,98
精,938
精品,8
紙,665
細,1999
細個,159
細路,239
細路仔,37
總,1068
總之,297
者,3613
而,7268
而家,778
耐,948
肚,280
脆,69
腸,113
腸粉,9
自,9377
自己,5932
興,703
茶,385
茶樓,15
菜,207
蒸,39
蒸籠,3
號,640
號碼,46
行,4226
術,663
衝,447
衣,272
要,12479
見,4459
見到,1613
覺,4081
覺得,2659
計,1252
記,2129
記憶,109
話,9941
誌,79
諗,3218
負,420
負責,158
責,500
買,1223
費,543
趁,127
路,2093
身,3651
車,1622
近,1420
返,3804
透,345
透明,30
通,2546
通常,222
過,10268
過去,471
遮,206
邊,4102
邊個,898
部,1986
都,25022
都好,973
酒,786
酒樓,35
釘,87
錢,1609
長,2096
門,1364
門口,213
開,6064
開位,1
開心,647
附,265
附近,165
隊,565
險,302
雜,377
雜誌,50
零,546
零用,5
零用錢,4
電,2511
電話,904
飛,850
飛仔,7
食,3686
飯,1101
飲,1063
飲茶,23
飽,113
飽肚,3
首,964
首先,279
黃,706
點,8263
點心,19
點心紙,1
D,3894
J,2169
K,1238
P,1121
book,336
d,5254
er,3016
ex,261
mark,34
ok,545
ser,83
so,634
su,185
un,1142
yo,369
一個,6416
一個人,659
一齊,1101
三,2872
三文魚,8
上台,33
上菜,5
不,12156
不過,2384
中場,12
九,769
九州,1
乞,71
亂,863
互,315
互相,157
享,320
今,2734
今次,595
份,1610
企,1731
似,4058
佈,159
位於,12
低,1713
住,7006
佬,851
侍應,22
侶,104
個人,1957
倒,510
倒數,20
候,1609
偏,422
做,7627
價,815
價錢,58
公,2869
其,6420
其實,3374
其餘,45
出,9380
出現,740
分享,139
分店,16
別,1072
到嘔,15
刺,173
刻,2198
剩,250
剩低,30
力,3145
劣,106
劣食,6
努,377
努力,355
勁,332
動,2472
動搖,23
務,489
包,881
包括,207
升,639
即,3362
即刻,1250
反,2136
受,1702
受罪,5
句,2221
只,5561
只係,2465
叫做,272
台,830
各,790
各種,138
吧,366
吸,433
吸引,108
呀,6136
呀嘛,302
告,491
呢,14241
呢個,4507
呢啲,1039
呢度,813
味,853
咁,16979
咁濟,4
唔係,5551
唔多,446
唔好,2776
唔知幾,116
唯,442
唯有,187
啅,2
問,4731
問題,1847
啲人,365
單一,30
喺,5574
嗰啲,246
嘔,134
嘛,913
嚟,4538
四,1531
圈,216
國,3143
國產,6
地址,35
地方,843
址,49
坐低,146
執,600
執輸,8
堅,445
堅定,38
堆,649
塊,398
夕,174
夜,701
大家,2587
夾,346
女性,90
好似,2772
好動,2
